employee_id,trimestre,score_performance,objectifs_atteints_%,projets_complétés,eligible_promotion,commentaire,evaluateur_id
E089,2024-T1,4.8,99,3,Oui,Objectifs partiellement atteints,E006
E090,2022-T4,3.3,66,2,Non,Leadership reconnu par l'équipe,E040
E091,2022-T2,4.6,95,4,Oui,Dépasse les attentes,E001
E092,2022-T1,3.4,64,4,Non,Nécessite un accompagnement,E001
E093,2023-T2,3.8,75,1,Non,Nécessite un accompagnement,E011
E094,2022-T2,4.8,98,4,Oui,Nécessite un accompagnement,E003
E095,2022-T4,3.6,75,6,Non,Excellente collaboration,E011
E096,2024-T1,3.6,77,6,Non,Excellente collaboration,E001
E097,2024-T1,3.3,68,8,Non,Atteint les objectifs,E007
E098,2023-T4,4.5,90,4,Oui,Fort potentiel,E002
E099,2022-T1,3.5,74,4,Non,En progression,E003
E100,2024-T1,2.8,60,7,Non,Excellente collaboration,E007
E101,2023-T2,3.1,60,7,Non,Nécessite un accompagnement,E040
E102,2023-T2,3.8,75,8,Non,Leadership reconnu par l'équipe,E007
E103,2023-T2,3.8,73,3,Non,Leadership reconnu par l'équipe,E007
E104,2024-T1,3.2,69,1,Non,Dépasse les attentes,E002
E105,2022-T2,4.6,97,1,Oui,Dépasse les attentes,E003
E106,2022-T4,3.7,70,3,Non,Dépasse les attentes,E003
E107,2023-T4,3.3,66,1,Non,Leadership reconnu par l'équipe,E006
E108,2022-T1,4.2,79,7,Non,Dépasse les attentes,E006
E109,2023-T1,2.8,59,5,Non,Dépasse les attentes,E002
E110,2023-T3,3.9,75,2,Non,Atteint les objectifs,E006
E111,2022-T4,3.9,76,5,Non,Fort potentiel,E040
E112,2023-T3,3.4,64,6,Non,Objectifs partiellement atteints,E006
E113,2022-T4,3.8,74,5,Non,Atteint les objectifs,E007
E114,2022-T1,4.2,80,7,Non,Objectifs partiellement atteints,E007
E115,2023-T4,3.6,67,1,Non,En progression,E012
E116,2023-T3,3.0,65,6,Non,Atteint les objectifs,E011
E117,2022-T1,4.7,92,4,Oui,Leadership reconnu par l'équipe,E011
E118,2022-T2,3.4,73,5,Non,Dépasse les attentes,E006
E119,2023-T2,3.2,59,4,Non,En progression,E006
E120,2023-T3,4.4,84,5,Non,En progression,E007
E121,2023-T3,4.0,85,6,Non,Objectifs partiellement atteints,E001
E122,2022-T3,4.4,84,6,Non,Dépasse les attentes,E001
E123,2022-T4,3.0,56,6,Non,Objectifs partiellement atteints,E007
E124,2023-T2,4.8,91,5,Oui,Leadership reconnu par l'équipe,E001
E125,2023-T2,3.8,79,7,Non,Objectifs partiellement atteints,E012
E126,2023-T3,3.2,60,5,Non,Nécessite un accompagnement,E006
E127,2022-T2,4.3,85,3,Oui,Objectifs partiellement atteints,E001
E128,2022-T3,4.3,87,6,Oui,Fort potentiel,E001
E129,2022-T1,3.0,59,8,Non,Fort potentiel,E007
E130,2022-T2,4.4,85,2,Oui,En progression,E003
E131,2024-T1,3.7,77,7,Non,Atteint les objectifs,E003
E132,2023-T2,2.9,61,2,Non,Fort potentiel,E007
E133,2022-T1,4.6,91,7,Oui,Objectifs partiellement atteints,E003
E134,2024-T1,4.4,86,3,Oui,Objectifs partiellement atteints,E006
E135,2023-T1,3.2,63,5,Non,Leadership reconnu par l'équipe,E002
E136,2022-T3,3.1,63,5,Non,Objectifs partiellement atteints,E011
E137,2022-T2,3.4,68,5,Non,Nécessite un accompagnement,E007
E138,2023-T4,4.3,90,4,Oui,Leadership reconnu par l'équipe,E040
E139,2023-T1,3.0,55,7,Non,Fort potentiel,E011
E140,2023-T3,4.6,92,8,Oui,Fort potentiel,E001
E141,2022-T3,3.7,73,6,Non,Nécessite un accompagnement,E007
E142,2022-T3,3.8,77,6,Non,Excellente collaboration,E011
E143,2023-T4,4.3,90,4,Oui,Fort potentiel,E007
E144,2023-T3,3.6,72,2,Non,Nécessite un accompagnement,E007
E145,2024-T1,4.0,77,1,Non,Leadership reconnu par l'équipe,E003
E146,2022-T4,4.8,98,5,Oui,Atteint les objectifs,E001
E147,2023-T3,4.5,95,8,Oui,En progression,E011
E148,2022-T4,4.1,81,3,Non,Objectifs partiellement atteints,E007
E149,2022-T2,4.5,92,8,Oui,Objectifs partiellement atteints,E003
E150,2023-T3,3.9,81,1,Non,Fort potentiel,E007
E151,2024-T1,4.3,90,2,Oui,Atteint les objectifs,E011
E152,2023-T2,4.4,85,1,Oui,Objectifs partiellement atteints,E006
E153,2023-T2,4.8,97,2,Oui,Dépasse les attentes,E007
E154,2022-T4,3.0,63,4,Non,Leadership reconnu par l'équipe,E001
E155,2023-T4,3.6,77,3,Non,Fort potentiel,E001
E156,2023-T4,4.9,94,5,Oui,Objectifs partiellement atteints,E003
E157,2022-T2,4.7,90,3,Oui,Fort potentiel,E007
E158,2023-T4,3.5,68,8,Non,Fort potentiel,E003
E159,2023-T4,3.8,78,6,Non,Atteint les objectifs,E002
E160,2022-T2,3.4,63,6,Non,Atteint les objectifs,E002
E161,2022-T3,4.2,82,3,Non,En progression,E001
E162,2023-T3,3.5,72,4,Non,Objectifs partiellement atteints,E040
E163,2022-T3,4.1,87,7,Non,Objectifs partiellement atteints,E007
E164,2022-T4,2.9,60,7,Non,Objectifs partiellement atteints,E012
E165,2022-T4,2.8,54,5,Non,Atteint les objectifs,E001
E166,2024-T1,4.0,77,6,Non,Fort potentiel,E002
E167,2022-T2,3.2,63,8,Non,Fort potentiel,E007
E168,2023-T3,4.1,86,2,Non,Fort potentiel,E007
E169,2023-T4,3.5,74,3,Non,Excellente collaboration,E001
E170,2022-T2,4.7,99,3,Oui,Fort potentiel,E011
E171,2023-T1,3.0,56,3,Non,Fort potentiel,E003
E172,2024-T1,4.3,87,7,Oui,En progression,E007
E173,2023-T3,4.0,77,8,Non,En progression,E003
E174,2023-T4,4.0,79,3,Non,En progression,E002
E175,2023-T4,3.5,74,1,Non,Fort potentiel,E012
E176,2023-T4,4.8,93,4,Oui,Objectifs partiellement atteints,E007
E177,2024-T1,4.8,100,8,Oui,Objectifs partiellement atteints,E011
E178,2023-T3,4.2,86,8,Oui,En progression,E002
E179,2022-T1,3.0,58,5,Non,Dépasse les attentes,E011
E180,2024-T1,3.4,67,3,Non,Leadership reconnu par l'équipe,E006
E181,2023-T4,4.0,83,2,Non,Atteint les objectifs,E007
E182,2024-T1,3.4,68,1,Non,Leadership reconnu par l'équipe,E007
E183,2023-T3,3.9,74,4,Non,Excellente collaboration,E007
E184,2022-T1,4.6,94,5,Oui,Fort potentiel,E007
E185,2022-T2,4.6,94,2,Oui,Nécessite un accompagnement,E007
E186,2023-T2,3.2,68,7,Non,En progression,E003
E187,2022-T4,4.1,80,1,Non,Fort potentiel,E011
E188,2024-T1,3.9,75,6,Non,Excellente collaboration,E007
E189,2023-T1,3.4,71,2,Non,En progression,E011
E190,2023-T3,4.8,91,5,Oui,En progression,E040
E191,2022-T3,4.3,84,3,Non,Fort potentiel,E007
E192,2023-T3,4.5,92,3,Oui,Excellente collaboration,E002
E193,2023-T3,4.1,84,2,Non,Atteint les objectifs,E007
E194,2023-T1,3.6,72,8,Non,Leadership reconnu par l'équipe,E007
E195,2022-T1,3.5,66,8,Non,Fort potentiel,E001
E196,2024-T1,4.6,93,4,Oui,Objectifs partiellement atteints,E001
E197,2023-T4,4.5,89,6,Oui,Excellente collaboration,E002
E198,2022-T3,3.5,74,8,Non,Fort potentiel,E007
E199,2022-T1,4.7,89,2,Oui,Leadership reconnu par l'équipe,E007
E200,2022-T3,2.8,58,8,Non,Dépasse les attentes,E012
